Name,Year,Position,Number,School,YDS,TDS
Adam Swaney,SO,RB/LB,#44,Bedford,68,1
Kyler Knaack,JR,,#20,Don Bosco,225,3
Trayton Cink,JR,RB/LB,#26,Bishop Garrigan,158,3
Carter Seitz,JR,WR/DB,#7,Kee,99,2
Austin Vaverka,SR,RB/LB,#5,Gladbrook-Reinbeck,190,5
Treyton Franzen,FR,FB/LB,#21,Turkey Valley,76,2
Colin Snyder,SO,RB/LB,#24,Dunkerton,69,0
Wyatt Throckmorton,SR,WR/LB,#23,Moravia,138,3
John McLaughlin,SR,WR/CB,#6,WACO,41,3
Landon Gjerde,SO,RB/LB,#1,Colo-Nesco,133,4
Sam Myer,JR,LB/RB,#33,St. Edmond,100,0
Christopher Greif,SR,LB/FB,#44,Central City,87,2
Judson Beary,JR,RB/LB,#6,Twin Cedars,50,0
Daniel Britt,JR,RB/S,#3,Janesville,73,2
Aldo Esteban-Cabrera,JR,RB/LB,#22,Murray,67,2
Kace Patton,SR,WR/CB,#10,Murray,25,0
Dallas Smith,JR,QB/DB,#2,Twin Cedars,20,0
Riley Garrett,JR,RB/DL,#11,Dunkerton,8,0
Rocky Johnson,FR,RB/DB,#15,Melcher-Dallas,26,0
Jesse Myhr,JR,FB/DE,#8,Moravia,134,2
Marco Avila,JR,FB,#52,Riceville,95,1
Kambridge Wainscott,SR,QB/DB,#15,Waterloo Christian,-17,0
Adyson Stark,JR,RB/DB,#6,Belle Plaine,166,3
Brenden Connett,SR,RB/LB,#20,Twin Cedars,44,0
Kaden Schmidt,FR,RB/LB,#18,Turkey Valley,92,2
Dalton Weepie,JR,TE/LB,#33,Dunkerton,112,1
Brett Plants,JR,RB/LB,#22,Montezuma,150,5
Brenden Wheeler,JR,RB/LB,#17,Southeast Warren,71,1
Eli Miller,SR,RB/LB,#7,Winfield-Mt Union,104,2
Riley Raines,FR,RB/LB,#13,New London,5,0
Jabari Woodbury,SR,,#2,GMG,252,2
Jeremy Reineke,SR,OL/LB,#45,Belle Plaine,27,3
Andrew Kolsrud,SR,WR/CB,#16,Kee,50,1
John Deemer,FR,RB/LB,#28,Bedford,89,3
Jack Follmann,SR,TE/LB,#40,CAM,53,0
Devon Weisskopf,JR,RB/LB,#32,HLV,26,0
Aidan Timm,SO,QB/DB,#9,Belle Plaine,65,2
Zane Johnson,JR,RB/LB,#7,Griswold,36,0
Sheldon Vandenberg,JR,OG/LB,#12,East Mills,14,0
Sam Fettkether,SR,OL/LB,#47,Central Elkader,-11,0
David Rose,JR,WR/DB,#5,Montezuma,42,0
Caleb Swedin,SO,RB/LB,#7,GTRA,53,2
Karter Thiessen,SR,RB/DB,#9,Iowa Valley,138,3
Makade Paulsen,JR,QB/DB,#3,CAM,140,1
Mason Maschmann,SR,RB/LB,#11,BGM,62,4
Travis Noel,FR,DE/RB,#32,Lamoni,35,0
Brigham Porter,SO,SL/DB,#23,New London,60,1
Justin Weispfenning,JR,RB/DB,#3,Easton Valley,35,0
Elliott Ward,SR,RB/LB,#1,Sidney,66,1
Gio Cruz,SR,RB/DB,#5,Lenox,46,0
Lawson Kling,SR,,#7,Fremont-Mills,93,2
Tyler Rodgers,JR,WR/CB,#17,Mormon Trail,9,0
Zach Thornburg,SR,QB/CB,#9,East Mills,100,3
Logan Sharpe,JR,RB/LB,#28,Central Elkader,14,0
Lincoln Albertson,SO,RB/LB,#32,Moravia,34,1
Owen Bral,JR,QB/LB,#3,Iowa Valley,97,2
Chance Hoyt,FR,RB/LB,#4,Iowa Valley,93,2
Sean McCulloch,FR,QB/DB,#24,HLV,8,0
Gavin Ford,JR,QB/LB,#12,Stanton/Essex Vikings,18,0
Ethan Bauer,SO,RB/DB,#4,Coon Rapids-Bayard,39,0
Tristen Burkhart,FR,RB/LB,#24,Boyer Valley,82,2
